date,Open,low,high,Close,hr hilo,time
2019:11:14-10:00:00,5752.7,5750.2,5779.2,5770.2,0.05%,6
2019:11:14-11:00:00,5769.2,5767.3,5781.2,5778.2,0.13%,7
2019:11:14-12:00:00,5779,5759,5782.2,5763.2,0.28%,8
2019:11:14-13:00:00,5764,5747,5772,5761.9,0.14%,9
2019:11:14-14:00:00,5761.5,5749.9,5780.9,5755.9,0.10%,10
2019:11:14-15:00:00,5756.1,5754.9,5776.9,5763.9,0.37%,11
2019:11:14-16:00:00,5763.6,5690.6,5768.5,5705.8,0.12%,12
2019:11:14-17:00:00,5705.6,5689.8,5715.9,5714.2,0.12%,13
2019:11:14-18:00:00,5714.6,5674.5,5714.8,5677.4,0.36%,14
2019:11:14-19:00:00,5677.8,5673.2,5697.1,5688.5,0.30%,15
2019:11:14-20:00:00,5688.4,5686.5,5701.5,5700.5,0.31%,16
2019:11:14-21:00:00,5700.6,5693.1,5701.5,5697.6,0.22%,17
2019:11:15-01:00:00,5712.2,5706.7,5715.8,5710.6,0.52%,18
2019:11:15-02:00:00,5709.8,5708.6,5717.6,5716.8,0.65%,19
2019:11:15-03:00:00,5716.2,5710.8,5719.6,5711.8,0.35%,20
2019:11:15-04:00:00,5711.7,5710.2,5715.7,5714.7,0.25%,21
2019:11:15-05:00:00,5713.8,5705.7,5719.7,5708.7,0.03%,22
2019:11:15-06:00:00,5708.6,5699.8,5710.7,5701.7,0.14%,23
2019:11:15-07:00:00,5700.8,5698.7,5708.8,5706.3,0.08%,0
2019:11:15-08:00:00,5706.7,5686.3,5713.8,5686.9,0.23%,1
2019:11:15-09:00:00,5686.7,5673.9,5692.7,5676.9,0.17%,2
2019:11:15-10:00:00,5676.7,5650.9,5679.7,5660.9,0.09%,3
2019:11:15-11:00:00,5661.3,5654.8,5679.8,5669.9,0.11%,4
2019:11:15-12:00:00,5670.8,5668.8,5683.8,5675.9,0.06%,5
2019:11:15-13:00:00,5676.9,5663.9,5705.8,5703.9,0.13%,6
2019:11:15-14:00:00,5704.8,5681.8,5711.8,5694.8,0.17%,7
2019:11:15-15:00:00,5695.3,5694.7,5735.3,5728.7,0.43%,8
2019:11:15-16:00:00,5728.8,5727.8,5800,5776.9,0.18%,9
2019:11:15-17:00:00,5776.8,5775.9,5805.8,5785.8,0.39%,10
2019:11:15-18:00:00,5784.8,5764.9,5785.8,5784,0.37%,11
2019:11:15-19:00:00,5784.1,5768.8,5791,5783,0.37%,12
2019:11:15-20:00:00,5782.9,5781,5788,5787,0.18%,13
2019:11:15-21:00:00,5786.9,5786,5800.1,5799.1,0.46%,14
2019:11:17-23:00:00,5790.2,5772.8,5795.8,5782.8,0.34%,15
2019:11:18-00:00:00,5782.3,5778.8,5786.8,5783.8,0.46%,16
2019:11:18-01:00:00,5782.8,5775.9,5786.9,5783.9,0.79%,17
2019:11:18-02:00:00,5784.4,5782.9,5791.9,5786.9,0.29%,18
2019:11:18-03:00:00,5787.9,5779.9,5790.9,5779.9,0.73%,19
2019:11:18-04:00:00,5778.9,5778.9,5782.9,5780.9,0.82%,20
2019:11:18-05:00:00,5779.9,5776.9,5786.9,5783.9,0.19%,21
2019:11:18-06:00:00,5783.4,5776.9,5784.9,5776.9,0.28%,22
2019:11:18-07:00:00,5777.4,5772.9,5814.9,5798.9,0.22%,23
2019:11:18-08:00:00,5797.9,5772.9,5802.9,5774.9,0.18%,0
2019:11:18-09:00:00,5775.9,5769.3,5794.9,5791.9,0.27%,1
2019:11:18-10:00:00,5791.4,5772.9,5798.9,5781.9,0.15%,2
2019:11:18-11:00:00,5780.9,5755.9,5782.9,5766,0.15%,3
2019:11:18-12:00:00,5765.9,5760.9,5773.9,5767.9,0.13%,4
2019:11:18-13:00:00,5768.9,5724,5768.9,5730,0.16%,5
2019:11:18-14:00:00,5729,5710,5752,5724,0.10%,6
2019:11:18-15:00:00,5725,5712.5,5751,5741,0.28%,7
2019:11:18-16:00:00,5740,5668,5741,5687,0.51%,8
2019:11:18-17:00:00,5686,5677,5691,5684,0.27%,9
2019:11:18-18:00:00,5685,5663,5687,5678,0.67%,10
2019:11:18-19:00:00,5678.5,5673,5715,5695,0.24%,11
2019:11:18-20:00:00,5696,5687.1,5698,5694.1,0.16%,12
2019:11:18-21:00:00,5695.1,5693.1,5703.1,5696.1,0.25%,13
2019:11:19-01:00:00,5692.1,5688.1,5704.1,5700.1,0.37%,14
2019:11:19-02:00:00,5699.1,5694.1,5706.1,5698,0.23%,15
2019:11:19-03:00:00,5697,5695,5700,5697,0.46%,16
2019:11:19-04:00:00,5696,5696,5702,5700,0.13%,17
2019:11:19-05:00:00,5701,5686,5702,5691,0.30%,18
2019:11:19-06:00:00,5690.5,5686,5696,5692,0.29%,19
2019:11:19-07:00:00,5693,5679,5694,5682,0.37%,20
2019:11:19-08:00:00,5682.9,5677.9,5706.9,5705.9,0.25%,21
2019:11:19-09:00:00,5704.9,5646.4,5718.9,5675.9,0.05%,22
2019:11:19-10:00:00,5674.9,5650.9,5675.9,5659.9,1.41%,23
2019:11:19-11:00:00,5659.4,5650.9,5665.9,5654.9,0.57%,0
2019:11:19-12:00:00,5653.9,5624.9,5663.9,5627.9,1.02%,1
2019:11:19-13:00:00,5626.9,5620.9,5648.9,5623.9,0.77%,2
2019:11:19-14:00:00,5624.8,5593.8,5631.9,5604.8,0.20%,3
2019:11:19-15:00:00,5602.9,5571.9,5619.9,5574.8,0.10%,4
2019:11:19-16:00:00,5573.8,5560.9,5603.8,5583.8,0.12%,5
2019:11:19-17:00:00,5582.8,5559.8,5590.8,5559.8,0.13%,6
2019:11:19-18:00:00,5558.8,5514.8,5558.8,5527.8,0.16%,7
2019:11:19-19:00:00,5528.8,5518.8,5555.8,5531.9,0.45%,8
2019:11:19-20:00:00,5532.8,5525.9,5540.8,5538.8,0.38%,9
2019:11:19-21:00:00,5539.3,5515.8,5541.8,5524.3,0.17%,10
2019:11:20-01:00:00,5552.7,5537.7,5553.7,5538.7,0.29%,11
2019:11:20-02:00:00,5539.7,5536.7,5544.7,5543.7,0.22%,12
2019:11:20-03:00:00,5542.7,5530.7,5547.7,5531.7,0.19%,13
2019:11:20-04:00:00,5532.7,5530.7,5536.7,5535.6,0.88%,14
2019:11:20-05:00:00,5535.7,5519.6,5537.6,5526.7,0.38%,15
2019:11:20-06:00:00,5527.6,5515.7,5528.6,5525.7,0.20%,16
2019:11:20-07:00:00,5525.6,5513.6,5533.7,5525.6,0.48%,17
2019:11:20-08:00:00,5524.6,5483.6,5526.6,5519.6,0.38%,18
2019:11:20-09:00:00,5518.6,5510.6,5535.6,5531.6,0.51%,19
2019:11:20-10:00:00,5531.7,5522.6,5552.6,5549.6,0.27%,20
2019:11:20-11:00:00,5550.6,5539.6,5576.1,5564.6,0.56%,21
2019:11:20-12:00:00,5563.6,5552.6,5569.6,5559.6,0.49%,22
2019:11:20-13:00:00,5558.6,5552.6,5581.6,5579.6,0.44%,23
2019:11:20-14:00:00,5578.6,5566.6,5591.6,5576.6,0.23%,0
2019:11:20-15:00:00,5576.1,5569.5,5652.5,5652.5,0.17%,1
2019:11:20-16:00:00,5651.6,5651.5,5715.4,5702.8,0.17%,2
2019:11:20-17:00:00,5702.3,5690.3,5735.3,5703.4,0.07%,3
2019:11:20-18:00:00,5703.3,5671.8,5722.3,5720.3,0.14%,4
2019:11:20-19:00:00,5721.2,5691.3,5732.2,5710.2,0.13%,5
2019:11:20-20:00:00,5709.2,5700.1,5713.2,5701.1,0.12%,6
2019:11:20-21:00:00,5702.1,5702.1,5718.1,5707.1,0.17%,7
2019:11:21-01:00:00,5676,5674.1,5685,5679.1,0.15%,8
2019:11:21-02:00:00,5680,5675,5698.6,5689,0.43%,9
2019:11:21-03:00:00,5689.1,5681,5689.1,5684,0.21%,10
2019:11:21-04:00:00,5683.1,5680,5688,5682,0.14%,11
2019:11:21-05:00:00,5682.5,5680,5691,5683.9,0.25%,12
2019:11:21-06:00:00,5683,5677.9,5687.9,5685,0.14%,13
2019:11:21-07:00:00,5685.5,5681,5706,5687.9,0.54%,14
2019:11:21-08:00:00,5687,5664,5695.9,5664.9,0.18%,15
2019:11:21-09:00:00,5664.8,5657.9,5693.9,5666.9,0.38%,16
2019:11:21-10:00:00,5666.4,5665.9,5696.9,5694.8,0.63%,17
2019:11:21-11:00:00,5694.9,5668.8,5696.8,5690.9,0.37%,18
2019:11:21-12:00:00,5689.9,5681.8,5719.8,5715.8,0.34%,19
2019:11:21-13:00:00,5716.2,5715.7,5745.5,5741.6,0.82%,20
2019:11:21-14:00:00,5740.7,5735.1,5794.5,5788.5,0.39%,21
2019:11:21-15:00:00,5789,5774.6,5810.5,5801.6,0.40%,23
2019:11:21-16:00:00,5802.5,5782.4,5824.4,5803.6,0.12%,0
2019:11:21-17:00:00,5804.5,5798.6,5830.4,5829.4,0.27%,1
2019:11:21-18:00:00,5830.3,5818.4,5848.3,5841.4,0.27%,2
2019:11:21-19:00:00,5842.4,5828.6,5863.4,5852.5,0.14%,3
2019:11:21-20:00:00,5852.4,5838.3,5853.4,5839.4,0.09%,4
2019:11:21-21:00:00,5838.5,5827.4,5840.3,5829.3,0.13%,5
2019:11:22-01:00:00,5821.3,5817.3,5825.4,5819.3,0.14%,6
2019:11:22-02:00:00,5819.4,5812.3,5823.3,5816.3,0.14%,7
2019:11:22-03:00:00,5815.8,5812.8,5816.4,5813.2,0.28%,8
2019:11:22-04:00:00,5813.8,5812.8,5818.3,5816.3,0.22%,9
2019:11:22-05:00:00,5816.2,5808.2,5817.2,5810.2,0.52%,10
2019:11:22-06:00:00,5809.8,5806.2,5818.3,5818.2,0.24%,11
2019:11:22-07:00:00,5817.3,5816.2,5833.2,5830.2,0.15%,12
2019:11:22-08:00:00,5830.3,5818.1,5848.3,5826.2,0.24%,13
2019:11:22-09:00:00,5827.1,5815.1,5847.1,5837.2,0.35%,14
2019:11:22-10:00:00,5836.2,5825.2,5844.2,5831.2,0.25%,15
2019:11:22-11:00:00,5831.1,5803.2,5834.1,5829.1,0.20%,16
2019:11:22-12:00:00,5829.2,5826.1,5845,5833.1,0.15%,17
2019:11:22-13:00:00,5833,5818,5853.1,5847,0.17%,18
2019:11:22-14:00:00,5847.1,5812.2,5870,5828.2,0.20%,19
2019:11:22-15:00:00,5829.1,5776.3,5843.1,5784.4,0.14%,20
2019:11:22-16:00:00,5783.5,5749.3,5793.4,5781.5,0.13%,21
2019:11:22-17:00:00,5781.6,5766.5,5784,5781.6,0.02%,22
2019:11:22-18:00:00,5780.6,5765.5,5812.4,5777.5,0.11%,23
2019:11:22-19:00:00,5777,5747.5,5796.5,5794.5,0.15%,0
2019:11:22-20:00:00,5794.6,5786.6,5799.6,5796.6,0.17%,1
2019:11:22-21:00:00,5797.6,5782.6,5802.6,5791.1,0.15%,2
2019:11:24-23:00:00,5789.3,5778.7,5800.7,5796.8,0.06%,3
2019:11:25-00:00:00,5797.2,5784.7,5797.7,5786.7,0.09%,4
2019:11:25-01:00:00,5786.8,5772.8,5786.8,5786.7,0.07%,5
2019:11:25-02:00:00,5786.6,5778.6,5786.8,5784.8,0.14%,6
2019:11:25-03:00:00,5783.8,5782.6,5792.8,5784.8,0.22%,7
2019:11:25-04:00:00,5784.7,5781.6,5787.7,5781.8,0.12%,8
2019:11:25-05:00:00,5781.7,5778.6,5790.7,5788.7,0.22%,9
2019:11:25-06:00:00,5788.6,5784.6,5796.7,5793.6,0.18%,10
2019:11:25-07:00:00,5793.7,5788.6,5800.7,5798.5,0.29%,11
2019:11:25-08:00:00,5797.6,5777.6,5803.7,5789.6,0.25%,12
2019:11:25-09:00:00,5789.7,5770.7,5800.6,5786.6,0.12%,13
2019:11:25-10:00:00,5786.4,5764.6,5787.4,5776.4,0.27%,14
2019:11:25-11:00:00,5775.7,5755.5,5781.6,5759.6,0.70%,15
2019:11:25-12:00:00,5759.5,5752.9,5767.6,5765.7,0.34%,16
2019:11:25-13:00:00,5764.8,5743.8,5785.6,5764.7,0.16%,17
2019:11:25-14:00:00,5765.5,5717.8,5796.6,5738.9,0.16%,18
2019:11:25-15:00:00,5738.4,5725.9,5788.8,5777.7,0.15%,19
2019:11:25-16:00:00,5777.8,5754.8,5798.6,5754.9,0.18%,20
2019:11:25-17:00:00,5754.8,5744.3,5780.5,5773,0.12%,21
2019:11:25-18:00:00,5772.5,5759.5,5783.8,5782.6,0.04%,22
2019:11:25-19:00:00,5782.8,5780.8,5810.3,5800.7,0.08%,23
2019:11:25-20:00:00,5800.1,5791,5803,5792,0.08%,0
2019:11:25-21:00:00,5791.9,5787.6,5797.5,5787.6,0.26%,1
2019:11:26-01:00:00,5796.6,5786.6,5807.7,5800.5,0.14%,2
2019:11:26-02:00:00,5800.7,5791.5,5801.4,5793.4,0.09%,3
2019:11:26-03:00:00,5792.6,5788.5,5796.6,5790.4,0.15%,4
2019:11:26-04:00:00,5790.6,5790.4,5797.5,5794.5,0.08%,5
2019:11:26-05:00:00,5794.4,5788.5,5798.5,5789.6,0.10%,6
2019:11:26-06:00:00,5789.5,5781.3,5795.4,5787.5,0.23%,7
2019:11:26-07:00:00,5787.6,5784.6,5791.6,5785.6,0.22%,8
2019:11:26-08:00:00,5786.3,5780.6,5797.3,5795.6,0.16%,9
2019:11:26-09:00:00,5796.2,5773.4,5820,5815.3,0.16%,10
2019:11:26-10:00:00,5816,5796.3,5827,5796.4,0.12%,11
2019:11:26-11:00:00,5796.3,5788,5814.5,5802.4,0.16%,12
2019:11:26-12:00:00,5802.3,5799.3,5816.2,5814.4,0.24%,13
2019:11:26-13:00:00,5815.2,5814.4,5837.5,5824.8,0.26%,14
2019:11:26-14:00:00,5824.6,5815.7,5852.7,5848,0.28%,15
2019:11:26-15:00:00,5848.4,5800,5850.7,5806,0.24%,16
2019:11:26-16:00:00,5805.5,5779.1,5831.8,5831.8,0.18%,17
2019:11:26-17:00:00,5832,5816,5838,5820,0.13%,18
2019:11:26-18:00:00,5820.3,5787,5821,5794,0.22%,19
2019:11:26-19:00:00,5794.2,5787.7,5840,5839.8,0.17%,20
2019:11:26-20:00:00,5839.7,5827.9,5843,5831.8,0.21%,21
2019:11:26-21:00:00,5831.9,5809.8,5833.9,5828.8,0.03%,22
2019:11:27-01:00:00,5815.9,5811.7,5821.7,5814.7,0.12%,23
2019:11:27-02:00:00,5814.9,5814.6,5818.9,5817.7,0.11%,0
2019:11:27-03:00:00,5817.6,5815.9,5824.7,5820.9,0.13%,1
2019:11:27-04:00:00,5820.7,5819.8,5826.6,5824.7,0.12%,2
2019:11:27-05:00:00,5825.4,5823.8,5829.8,5825.7,0.09%,3
2019:11:27-06:00:00,5824.8,5817.8,5825.8,5823.8,0.07%,4
2019:11:27-07:00:00,5824.5,5823.8,5832.8,5828.8,0.04%,5
2019:11:27-08:00:00,5829.2,5825.8,5842.8,5836.8,0.13%,6
2019:11:27-09:00:00,5837.5,5832.1,5844.8,5840.8,0.08%,7
2019:11:27-10:00:00,5840.1,5838.1,5856.5,5847.8,0.25%,8
2019:11:27-11:00:00,5847.9,5842.8,5863.8,5859.8,0.21%,9
2019:11:27-12:00:00,5859.1,5837,5859.8,5839,0.50%,10
2019:11:27-13:00:00,5839.9,5832.9,5854,5840,0.20%,11
2019:11:27-14:00:00,5840.2,5818,5848.7,5834.7,0.17%,12
2019:11:27-15:00:00,5834,5790.2,5847.9,5797.2,0.16%,13
2019:11:27-16:00:00,5797.3,5754.3,5805.2,5775.3,0.29%,14
2019:11:27-17:00:00,5775.7,5748.3,5781.3,5769.1,0.31%,15
2019:11:27-18:00:00,5769.3,5766.3,5806.6,5806.1,0.31%,16
2019:11:27-19:00:00,5805.1,5788.3,5811.3,5804.3,0.22%,17
2019:11:27-20:00:00,5804.4,5801.6,5814.4,5806.6,0.16%,18
2019:11:27-21:00:00,5806.4,5805.3,5812.3,5811.8,0.24%,19
